ts,equity,buy_hold
,10000.0,10000.0
1676764800000,10000.0,9985.007496251874
1676851200000,10000.0,10555.809051995742
1676937600000,10000.0,10041.283705973101
1677024000000,10000.0,9711.665906177346
1677110400000,10000.0,9611.1726745323
1677196800000,10000.0,9273.515416204942
1677283200000,10000.0,8992.13436759881
1677369600000,10000.0,9345.870542989376
1677456000000,10000.0,9116.745974838668
1677542400000,10000.0,8799.18736284032
1677628800000,10000.0,9048.410577320037
1677715200000,10000.0,8843.40438476414
1677801600000,10000.0,8610.260087347631
1677888000000,10000.0,8433.39199965235
1677974400000,10000.0,8429.372270386546
1678060800000,10000.0,8292.701475349282
1678147200000,10000.0,8139.9517632488105
1678233600000,9996.24875,7400.321578341264
1678320000000,9846.060491580662,6966.190817634661
1678406400000,9846.060491580662,7303.84807596202
1678492800000,9846.060491580662,7263.6507833040005
1678579200000,9846.060491580662,8119.853116919801
1678665600000,9846.060491580662,8200.247702235838
1678752000000,9846.060491580662,8385.155248462725
1678838400000,9846.060491580662,7733.95910740282
1678924800000,9846.060491580662,7906.807465832302
1679011200000,9846.060491580662,8682.615214132065
1679097600000,9846.060491580662,8521.826043499988
1679184000000,9846.060491580662,8787.128175042913
1679270400000,9846.060491580662,8895.660865219565
1679356800000,9846.060491580662,9056.45003585164
1679443200000,9846.060491580662,8610.260087347631
1679529600000,9846.060491580662,8907.72005301697
1679616000000,9846.060491580662,8304.760663146688
1679702400000,9846.060491580662,8204.267431501641
1679788800000,9846.060491580662,8417.31308258914
1679875200000,9846.060491580662,8003.280968211547
1679961600000,9846.060491580662,8220.346348564848
1680048000000,9846.060491580662,8481.628750841972
1680134400000,9846.060491580662,8260.543641222868
1680220800000,9846.060491580662,8505.747126436781
1680307200000,9846.060491580662,8473.589292310366
1680393600000,9846.060491580662,8248.48445342546
1680480000000,9846.060491580662,8220.346348564848
1680566400000,9846.060491580662,8409.273624057538
1680652800000,9846.060491580662,8429.372270386546
1680739200000,9846.060491580662,8288.68174608348
1680825600000,9846.060491580662,8216.326619299047
1680912000000,9846.060491580662,8055.537448666971
1680998400000,9846.060491580662,8152.010951046217
1681084800000,9846.060491580662,8397.214436260132
1681171200000,9846.060491580662,9237.337852812725
1681257600000,9846.060491580662,9566.95565260848
1681344000000,9846.060491580662,9820.198596353997
1681430400000,9846.060491580662,9932.75101579645
1681516800000,9846.060491580662,9667.448884253527
1681603200000,9846.060491580662,10185.99395954197
1681689600000,9846.060491580662,9880.494535341026
1681776000000,9846.060491580662,9976.968037720271
1681862400000,9846.060491580662,9108.706516307064
1681948800000,9846.060491580662,8923.798970080177
1682035200000,9846.060491580662,8541.924689828998
1682121600000,9846.060491580662,8758.9900701823
1682208000000,9846.060491580662,8630.35873367664
1682294400000,9846.060491580662,8594.181170284422
1682380800000,9846.060491580662,8815.266279903526
1682467200000,9846.060491580662,8553.983877626406
1682553600000,9846.060491580662,8976.055450535601
1682640000000,9846.060491580662,9382.048106381591
1682726400000,9846.060491580662,9321.752167394565
1682812800000,9846.060491580662,9140.86435043348
1682899200000,9846.060491580662,8827.325467700934
1682985600000,9846.060491580662,8943.897616409187
1683072000000,9846.060491580662,8939.877887143384
1683158400000,9846.060491580662,8738.89142385329
1683244800000,9846.060491580662,9173.022184559895
1683331200000,9846.060491580662,8807.226821371924
1683417600000,9846.060491580662,8706.733589726877
1683504000000,9842.366988138758,8288.68174608348
1683590400000,9845.948241954802,8300.740933880885
1683676800000,9876.985775027195,8405.253894791735
1683763200000,9788.648180898077,8107.793929122397
1683849600000,9875.79202375518,8401.234165525933
1683936000000,9868.62951612309,8377.115789931122
1684022400000,9879.373277571225,8413.293353323339
1684108800000,9886.535785203316,8437.411728918149
1684195200000,9848.335744498832,8308.780392412491
1684281600000,9894.892044107422,8465.549833778763
1684368000000,9808.941952522335,8176.129326641028
1684454400000,9811.329455066363,8184.168785172631
1684540800000,9801.779444890244,8152.010951046217
1684627200000,9721.798109665231,7882.68909023749
1684713600000,9708.752170835858,7850.531256111076
1684800000000,9708.752170835858,8047.497990135367
1684886400000,9708.752170835858,7725.919648871217
1684972800000,9708.752170835858,7737.9788366686225
1685059200000,9708.752170835858,7778.176129326642
1685145600000,9708.752170835858,8212.306890033244
1685232000000,9708.752170835858,8365.056602133716
1685318400000,9708.752170835858,8268.58309975447
1685404800000,9708.752170835858,8541.924689828998
1685491200000,9708.752170835858,8365.056602133716
1685577600000,9708.752170835858,8236.425265628055
1685664000000,9708.752170835858,8545.944419094802
1685750400000,9708.752170835858,8517.806314234189
1685836800000,9708.752170835858,8771.049257979706
1685923200000,9708.752170835858,8039.458531603764
1686009600000,9708.752170835858,8192.208243704235
1686096000000,9708.752170835858,7492.7753514547085
1686182400000,9708.752170835858,7593.268583099755
1686268800000,9705.110175177775,6994.328922495274
1686355200000,9452.151539530281,6274.797383916737
1686441600000,9448.605801184014,6250.679008321927
1686528000000,9393.838579001864,6105.968754753058
1686614400000,9370.647584561159,6045.67281576603
1686700800000,9280.71093533951,5820.567976881125
1686787200000,9280.71093533951,5937.14012558938
1686873600000,9280.71093533951,6154.205505942681
1686960000000,9280.71093533951,6286.856571714144
1687046400000,9280.71093533951,6210.481715663907
1687132800000,9280.71093533951,6471.76411794103
1687219200000,9280.71093533951,6688.829498294332
1687305600000,9280.71093533951,6925.993524976642
1687392000000,9280.71093533951,6680.790039762728
1687478400000,9280.71093533951,6885.796232318623
1687564800000,9280.71093533951,6688.829498294332
1687651200000,9280.71093533951,6817.460834799992
1687737600000,9280.71093533951,6540.099515459661
1687824000000,9280.71093533951,6684.809769028529
1687910400000,9280.71093533951,6419.507637485605
1687996800000,9280.71093533951,7231.492949177585
1688083200000,9280.71093533951,7581.209395302349
1688169600000,9280.71093533951,7516.893727049519
1688256000000,9280.71093533951,7818.37342198466
1688342400000,9280.71093533951,7741.998565934425
1688428800000,9280.71093533951,7689.742085479
1688515200000,9280.71093533951,7637.485605023576
1688601600000,9280.71093533951,7882.68909023749
